Date,Cloud Fraction,Date(Gregorian)
10/1/2004,0.310507446,1
10/2/2004,0.300557767,2
10/3/2004,0.355872834,3
10/4/2004,0.286249153,4
10/5/2004,0.318011267,5
10/6/2004,0.420317136,6
10/7/2004,0.303987683,7
10/8/2004,0.263553226,8
10/9/2004,0.238972424,9
10/10/2004,0.297770762,10
10/11/2004,0.270148496,11
10/12/2004,0.295980926,12
10/13/2004,0.284844088,13
10/14/2004,0.283335613,14
10/15/2004,0.285700699,15
10/17/2004,0.347570218,16
10/18/2004,0.29125615,17
10/19/2004,0.324785125,18
10/20/2004,0.286827384,19
10/21/2004,0.358025347,20
10/22/2004,0.336816656,21
10/23/2004,0.298342554,22
10/24/2004,0.288078661,23
10/25/2004,0.279351207,24
10/26/2004,0.321032498,25
10/27/2004,0.309225036,26
10/28/2004,0.329756276,27
10/29/2004,0.287009589,28
10/30/2004,0.301864671,29
10/31/2004,0.298207047,30
11/1/2004,0.274279529,31
11/2/2004,0.326963663,32
11/3/2004,0.222732777,33
11/4/2004,0.26797236,34
11/5/2004,0.272755636,35
11/6/2004,0.370628724,36
11/7/2004,0.311416268,37
11/8/2004,0.305742702,38
11/9/2004,0.297440834,39
11/10/2004,0.268536631,40
11/11/2004,0.296447197,41
11/12/2004,0.265341853,42
11/13/2004,0.30344388,43
11/14/2004,0.307306546,44
11/15/2004,0.337583907,45
11/16/2004,0.317740601,46
11/18/2004,0.30912809,47
12/2/2004,0.290840747,48
12/3/2004,0.271265896,49
12/4/2004,0.276997682,50
12/5/2004,0.260217558,51
12/6/2004,0.299558266,52
12/7/2004,0.292978447,53
12/8/2004,0.308531485,54
12/9/2004,0.315547743,55
12/10/2004,0.316494664,56
12/11/2004,0.320445186,57
12/12/2004,0.301993173,58
12/13/2004,0.293434347,59
12/14/2004,0.256015018,60
12/15/2004,0.315123197,61
12/16/2004,0.290004214,62
12/17/2004,0.325259918,63
12/18/2004,0.29798059,64
12/20/2004,0.358783341,65
12/21/2004,0.284657552,66
12/22/2004,0.332517265,67
12/23/2004,0.279502695,68
12/24/2004,0.308191211,69
12/25/2004,0.286552938,70
12/26/2004,0.276760343,71
12/27/2004,0.292912997,72
12/28/2004,0.284701784,73
12/29/2004,0.251522322,74
12/30/2004,0.251019452,75
1/1/2005,0.270542362,76
1/2/2005,0.337267148,77
1/3/2005,0.29297814,78
1/4/2005,0.279754358,79
1/5/2005,0.309351614,80
1/6/2005,0.286573318,81
1/7/2005,0.327165148,82
1/8/2005,0.291519412,83
1/9/2005,0.293234813,84
1/10/2005,0.306837687,85
1/11/2005,0.3070217,86
1/12/2005,0.297914803,87
1/13/2005,0.35414658,88
1/14/2005,0.375341706,89
1/15/2005,0.322851715,90
1/16/2005,0.362273686,91
1/17/2005,0.333355542,92
1/18/2005,0.328216267,93
1/19/2005,0.344505547,94
1/21/2005,0.316252449,95
1/22/2005,0.317635498,96
1/23/2005,0.2974353,97
1/24/2005,0.247193027,98
1/25/2005,0.291236003,99
1/26/2005,0.270775136,100
1/27/2005,0.334253232,101
1/28/2005,0.326034661,102
1/29/2005,0.314600062,103
1/30/2005,0.318189286,104
1/31/2005,0.308168601,105
2/1/2005,0.382701322,106
2/2/2005,0.407920745,107
2/3/2005,0.410186368,108
2/4/2005,0.319387636,109
2/5/2005,0.300319347,110
2/6/2005,0.254350667,111
2/7/2005,0.242623865,112
2/8/2005,0.309867918,113
2/9/2005,0.298191434,114
2/10/2005,0.335437451,115
2/11/2005,0.32989327,116
2/12/2005,0.388219472,117
2/13/2005,0.292750873,118
2/14/2005,0.331967221,119
2/15/2005,0.342276508,120
2/16/2005,0.331613272,121
2/17/2005,0.354833249,122
2/18/2005,0.28700547,123
2/19/2005,0.364544243,124
2/20/2005,0.315693347,125
2/22/2005,0.313020481,126
2/23/2005,0.313931101,127
2/24/2005,0.293321104,128
2/25/2005,0.292060235,129
2/26/2005,0.321247238,130
2/27/2005,0.259099983,131
2/28/2005,0.295970594,132
3/1/2005,0.331748636,133
3/2/2005,0.329730888,134
3/3/2005,0.362187601,135
3/4/2005,0.296884143,136
3/5/2005,0.318334081,137
3/6/2005,0.312851601,138
3/7/2005,0.35341866,139
3/8/2005,0.301444044,140
3/9/2005,0.308211794,141
3/10/2005,0.27541104,142
3/11/2005,0.253394597,143
3/12/2005,0.291040266,144
3/13/2005,0.264099018,145
3/14/2005,0.313738541,146
3/15/2005,0.277198987,147
3/16/2005,0.290322214,148
3/17/2005,0.289726451,149
3/18/2005,0.291790989,150
3/19/2005,0.312727812,151
3/20/2005,0.26543791,152
3/21/2005,0.336124891,153
3/22/2005,0.284081833,154
3/23/2005,0.317430525,155
3/24/2005,0.292529874,156
3/26/2005,0.292194712,157
3/27/2005,0.263040506,158
3/28/2005,0.321940174,159
3/29/2005,0.302049942,160
3/30/2005,0.33176087,161
3/31/2005,0.262200066,162
4/1/2005,0.300357572,163
4/2/2005,0.291822475,164
4/3/2005,0.328561181,165
4/4/2005,0.30484525,166
4/5/2005,0.295333689,167
4/6/2005,0.32542661,168
4/7/2005,0.25646825,169
4/8/2005,0.282331317,170
4/9/2005,0.284115926,171
4/10/2005,0.282770871,172
4/11/2005,0.260041157,173
4/12/2005,0.291237356,174
4/13/2005,0.305006377,175
4/14/2005,0.280805601,176
4/15/2005,0.315733674,177
4/16/2005,0.308132443,178
4/17/2005,0.358265581,179
4/18/2005,0.343571347,180
4/19/2005,0.33090358,181
4/20/2005,0.352004678,182
4/21/2005,0.327912424,183
4/22/2005,0.276863437,184
4/23/2005,0.315042435,185
4/24/2005,0.302850607,186
4/25/2005,0.277197449,187
4/27/2005,0.367603017,188
4/28/2005,0.35265123,189
4/29/2005,0.376530613,190
4/30/2005,0.304937315,191
5/1/2005,0.304099804,192
5/2/2005,0.280692016,193
5/3/2005,0.245031121,194
5/4/2005,0.223502073,195
5/5/2005,0.281756962,196
5/6/2005,0.26183299,197
5/7/2005,0.320938085,198
5/8/2005,0.320121207,199
5/9/2005,0.304322856,200
5/10/2005,0.273167803,201
5/11/2005,0.246216743,202
5/12/2005,0.238500043,203
5/13/2005,0.261858478,204
5/14/2005,0.262886432,205
5/15/2005,0.304246495,206
5/16/2005,0.314595338,207
5/17/2005,0.331937252,208
5/18/2005,0.257173376,209
5/19/2005,0.291111547,210
5/20/2005,0.300923458,211
5/21/2005,0.337109497,212
5/22/2005,0.356124238,213
5/23/2005,0.343871431,214
5/24/2005,0.238886214,215
5/25/2005,0.24292327,216
5/26/2005,0.303593759,217
5/27/2005,0.26228771,218
5/29/2005,0.25438889,219
5/30/2005,0.318435846,220
5/31/2005,0.320176304,221
6/1/2005,0.32197483,222
6/2/2005,0.286690082,223
6/3/2005,0.250420288,224
6/4/2005,0.2515104,225
6/5/2005,0.272217,226
6/6/2005,0.281846776,227
6/7/2005,0.261781797,228
6/8/2005,0.254104121,229
6/9/2005,0.252110749,230
6/10/2005,0.239203233,231
6/11/2005,0.249347025,232
6/12/2005,0.256809416,233
6/13/2005,0.225410584,234
6/14/2005,0.256016434,235
6/15/2005,0.239131648,236
6/16/2005,0.225715816,237
6/17/2005,0.23924891,238
6/18/2005,0.230580773,239
6/19/2005,0.266844686,240
6/20/2005,0.285378403,241
6/21/2005,0.322923613,242
6/22/2005,0.345530605,243
6/23/2005,0.333760262,244
6/24/2005,0.284283643,245
6/25/2005,0.22971249,246
6/26/2005,0.271400157,247
6/27/2005,0.265263746,248
6/28/2005,0.314803052,249
6/30/2005,0.231593924,250
7/1/2005,0.225760632,251
7/2/2005,0.227505769,252
7/3/2005,0.220665836,253
7/4/2005,0.22017747,254
7/5/2005,0.295059817,255
7/6/2005,0.280053347,256
7/7/2005,0.298262221,257
7/8/2005,0.274040605,258
7/9/2005,0.239905114,259
7/10/2005,0.241003937,260
7/11/2005,0.262226679,261
7/12/2005,0.252281763,262
7/13/2005,0.227773638,263
7/14/2005,0.21684888,264
7/15/2005,0.267933517,265
7/16/2005,0.219149951,266
7/17/2005,0.24370742,267
7/18/2005,0.30805118,268
7/19/2005,0.2610788,269
7/20/2005,0.277016513,270
7/21/2005,0.25192751,271
7/22/2005,0.242919482,272
7/23/2005,0.247867465,273
7/24/2005,0.232900136,274
7/25/2005,0.276082372,275
7/26/2005,0.242000478,276
7/27/2005,0.232920498,277
7/28/2005,0.243097758,278
7/29/2005,0.211765767,279
7/30/2005,0.250925423,280
8/1/2005,0.239730547,281
8/2/2005,0.236919728,282
8/3/2005,0.259121146,283
8/4/2005,0.229936665,284
8/5/2005,0.238752981,285
8/6/2005,0.247614554,286
8/7/2005,0.272345144,287
8/8/2005,0.305915412,288
8/9/2005,0.267920163,289
8/10/2005,0.257889652,290
8/11/2005,0.245637366,291
8/12/2005,0.23008129,292
8/13/2005,0.229567956,293
8/14/2005,0.206072381,294
8/15/2005,0.2404135,295
8/16/2005,0.252443007,296
8/17/2005,0.276301483,297
8/18/2005,0.261040365,298
8/19/2005,0.266719236,299
8/20/2005,0.271151761,300
8/21/2005,0.215024179,301
8/22/2005,0.250210777,302
8/23/2005,0.223724141,303
8/24/2005,0.280404109,304
8/25/2005,0.23973549,305
8/26/2005,0.284531622,306
8/27/2005,0.214826465,307
8/28/2005,0.18671109,308
8/29/2005,0.201393005,309
8/30/2005,0.216442683,310
8/31/2005,0.252029798,311
9/2/2005,0.278343216,312
9/3/2005,0.205953886,313
9/4/2005,0.2330609,314
9/5/2005,0.234568989,315
9/6/2005,0.236162728,316
9/7/2005,0.249603328,317
9/8/2005,0.285118554,318
9/9/2005,0.270772817,319
9/10/2005,0.239714055,320
9/11/2005,0.271305086,321
9/12/2005,0.339238828,322
9/13/2005,0.372965457,323
9/14/2005,0.297966721,324
9/15/2005,0.30171341,325
9/16/2005,0.306112135,326
9/17/2005,0.23657098,327
9/18/2005,0.294605836,328
9/19/2005,0.242225599,329
9/20/2005,0.254788886,330
9/21/2005,0.255839673,331
9/22/2005,0.272139712,332
9/23/2005,0.276149832,333
9/24/2005,0.275434525,334
9/25/2005,0.322854294,335
9/26/2005,0.311676178,336
9/27/2005,0.335695841,337
9/28/2005,0.314742759,338
9/29/2005,0.282821057,339
9/30/2005,0.246463605,340
10/1/2005,0.248856377,341
10/2/2005,0.246860285,342
10/4/2005,0.24978108,343
10/5/2005,0.304342104,344
10/6/2005,0.311438759,345
10/7/2005,0.264202174,346
10/8/2005,0.295969555,347
10/9/2005,0.282743756,348
10/10/2005,0.25829428,349
10/11/2005,0.296861708,350
10/12/2005,0.236669492,351
10/13/2005,0.283094533,352
10/14/2005,0.276588433,353
10/15/2005,0.280222948,354
10/16/2005,0.270333216,355
10/17/2005,0.276974175,356
10/18/2005,0.317483196,357
10/19/2005,0.322143746,358
10/20/2005,0.319948246,359
10/21/2005,0.273198668,360
10/22/2005,0.344488543,361
10/23/2005,0.256949982,362
10/24/2005,0.326183244,363
10/25/2005,0.319813521,364
10/26/2005,0.274676072,365
10/27/2005,0.273028117,366
10/28/2005,0.250564955,367
10/29/2005,0.317358859,368
10/30/2005,0.337689233,369
10/31/2005,0.370025471,370
11/1/2005,0.275150459,371
11/2/2005,0.322077154,372
11/3/2005,0.313626402,373
11/5/2005,0.309828956,374
11/6/2005,0.292023578,375
11/7/2005,0.348936061,376
11/8/2005,0.345912264,377
11/9/2005,0.387638387,378
11/10/2005,0.398227702,379
11/11/2005,0.445578325,380
11/12/2005,0.333034639,381
11/13/2005,0.359269868,382
11/14/2005,0.342523642,383
11/15/2005,0.338833103,384
11/16/2005,0.341960145,385
11/17/2005,0.313911593,386
11/18/2005,0.339142135,387
11/19/2005,0.322114422,388
11/20/2005,0.347952725,389
11/21/2005,0.326924225,390
11/22/2005,0.314860953,391
11/23/2005,0.316909829,392
11/24/2005,0.298822023,393
11/25/2005,0.359500239,394
11/26/2005,0.291980872,395
11/27/2005,0.31888871,396
11/28/2005,0.32044145,397
11/29/2005,0.290499824,398
11/30/2005,0.304572686,399
12/1/2005,0.30520995,400
12/2/2005,0.350102582,401
12/3/2005,0.320748099,402
12/4/2005,0.345271353,403
12/5/2005,0.331773076,404
12/7/2005,0.341352669,405
12/8/2005,0.321283672,406
12/9/2005,0.379049825,407
12/10/2005,0.286951394,408
12/11/2005,0.346105133,409
12/12/2005,0.328331671,410
12/13/2005,0.359617481,411
12/14/2005,0.339999208,412
12/15/2005,0.334226936,413
12/16/2005,0.343403663,414
12/17/2005,0.332410371,415
12/18/2005,0.363760288,416
12/19/2005,0.334794523,417
12/20/2005,0.319085574,418
12/21/2005,0.288308679,419
12/22/2005,0.290414305,420
12/23/2005,0.304916735,421
12/24/2005,0.294337483,422
12/25/2005,0.341855801,423
12/26/2005,0.317545374,424
12/27/2005,0.36889236,425
12/28/2005,0.320817541,426
12/29/2005,0.376271712,427
12/30/2005,0.310131027,428
1/1/2006,0.309006417,429
1/2/2006,0.303770764,430
1/3/2006,0.381654698,431
